User ID,Number of friends,College Education
72Y0WQ31-XQKU-4LTM-40ZX-PX37G6IK7S59,113,No
5GGQCY44-OK2D-XGS4-GJOY-U4RXBVXF7J3M,99,No
0SIFQG2V-TWFE-0RE7-8DL5-KYR2N4UMTYMY,0,No
WSCKFU9U-VQQM-99VL-ZZBS-2EGJ8RR9J55K,0,Yes
ZYV7RIS4-1G7X-ZCHF-ISUE-BF00R8NB8JHM,113,Yes
IJXD7U40-70YZ-HBUQ-UIS7-LOB941HCUKJJ,125,Unknown
UZ80H4NZ-CN5P-FQH7-I0W2-XCCQKUVSI2RE,110,No
BGOASGRU-PGZ3-M1CF-SYI9-DQQY3CMTWH9P,86,No
5W1OA0BX-FSE4-V6LJ-X40K-PNA9QGTAJLGV,47,Unknown
HC0KYMQB-X5ZH-3S0L-2BWC-820F0CHFBN29,100,No
04I59XXT-8A50-P60D-1TUI-GTSUMC2D3CVQ,87,Yes
X2K1TI1F-CHV3-PLW2-7C2E-UEBHFGOYRDDW,89,Yes
6PI846JP-KEPM-PKIX-CRSJ-XV5M2PCCZEZQ,99,Yes
2ZU2G7T1-YH8B-1LGC-M5QA-5SWPEF61QOFE,48,Unknown
KEMHD9SB-QDQW-AQRN-YMIF-YCI7RPK70Q76,164,Yes
4SEUAZOP-HCYU-Y8BY-AEBV-27HY97ULVE6U,125,Unknown
PTHKOJ6N-WFR9-UMS5-YG3T-Q7S4WRUPO4VY,121,Yes
C4NM1LX0-4RZQ-MAV9-7B3R-QEQ6M7S81BFQ,52,No
DXTBECRD-8VKT-RXNA-4VHB-096VYFKG31V3,67,Unknown
ZWEMO4LJ-VCF4-BT2X-A375-H2IP1JAVK0I9,98,Yes
NFVLQPOF-Y6OT-C66D-CKNT-YSQZJSU119AU,87,No
BVPYJ1L7-JSN7-CBR4-06OH-IQUY09G45XE9,142,No
8OQLJSYJ-PZXZ-99GP-T3HS-RAYYQVORPVMT,0,No
SKWYFZCK-6QP4-KTEV-5ZWI-X5MRCJTWS7NR,0,No
KM8FU8Q2-8R6U-8H20-IZR4-DXU0IZ9WM2VW,91,Yes
5RCX3L0Q-ZWRX-YX9L-D0QF-JIHSKMPW7EC2,122,Yes
BZICXBIE-LPPH-M2VL-B0NC-M6V6VKNQATJ8,94,Unknown
JLTGTJWB-LCHN-DX9Z-7T3Y-ELPP9EQ4XEZL,0,No
H45B2EEB-JG61-YHKY-UIS3-B9OTRMJNZNE7,129,Yes
1UHHA4GQ-OX7D-REJM-L3US-C9IWI806JOOX,127,No
646W93G6-NID3-ENS4-2XOE-3LS5AGB4MP57,0,Unknown
R89KV4TI-JBD5-K2QB-BD6T-IDWV8D6ESXY4,0,Unknown
2QE1S0HS-9EIG-CUY7-VO6Q-929MLQW2RKG3,108,No
161GGC2F-P9Y1-7JW4-RGBU-LJFIZ656PZCX,93,No
Z09QTTZK-DWZ2-W3N6-C1BW-77G3F6HGDIO2,97,No
UVTRLGDE-LG8K-5VLL-QAJE-938R5CE38X47,0,Unknown
268PZ68H-KX0J-F1I8-80PP-UCBDA6A9HK4D,105,Yes
WQCU8MCL-YBK6-W1RB-IX7W-UJ0GRCATK47D,109,Yes
OY0WANW8-HT44-3J0J-ATT2-CHMMV6UOOI5U,144,Yes
01WJA432-JICO-FN9N-QKZL-M02D86EQHRWP,129,No
L1CS8UV6-NBA2-KFY6-UMQ2-NSDH0G6PQ94R,118,Yes
8B8DVZR2-UETY-G76P-DC6D-XFRSLDE2HEHV,46,Unknown
EL2EQ25G-1G2O-YVAA-9F6F-N5V61HYVHV8L,110,No
