"class","GLCM_pan","Mean_Green","Mean_Red","Mean_NIR","SD_pan"
"n","w",127.9463087,178.3684211,92.36842105,278.4736842
"w","w",127.8356974,201.3584906,116.509434,372.1320755
"n","w",147.7711268,220.1111111,123.7222222,479.1666667
"w","w",130.0105018,184.8703704,103.1666667,319.7777778
"w","w",122.7978339,202.3428571,132.4857143,322.2857143
"w","w",128.3687542,211.3544974,140.6507937,411.3015873
"w","w",126.739726,203.3913043,129.9043478,390.8173913
"n","n",135.725,238.9166667,107.5833333,741.2708333
"n","n",133.359375,166,84,247
"n","n",127.3958333,200.3333333,99.16666667,486.1666667
"n","n",141.3506944,224.4444444,107.1111111,668.6666667
"n","n",128.1771654,206.5,94.4375,456.875
"n","n",122.6736111,183.3333333,80.66666667,390.7777778
"n","n",119.1488095,200,93.52380952,488.6190476
"n","n",111.1507353,193.0588235,88.35294118,493.8235294
"n","n",93.6875,220.8571429,99.71428571,677
"n","n",149.3125,206.6666667,94.83333333,607.6666667
"n","n",109.2083333,220,95.08333333,757.4166667
"n","n",140.3920455,204,96,583
"n","n",143.2410714,186.7142857,82.85714286,467.5714286
"n","n",121.1818182,203.1818182,93.63636364,592.4545455
"n","n",137.7176871,201.2972973,92.75675676,484.972973
"n","n",119.4849315,199.6521739,85,545.2608696
"n","n",117.4052045,183,76.82352941,399.4117647
"n","n",120.5,195.125,84.1875,558.75
"n","n",125.5213675,202.9189189,88.21621622,575.3243243
"n","n",149.75,245,113.5,685.5
"n","n",108.5454545,214.3636364,91.63636364,589.0909091
"n","n",139.43125,216.5,96.5,724.5
"n","n",125.4906284,255.3157895,118.7017544,814.7192982
"n","n",126.1192469,231.5333333,110.9,735.0666667
"n","n",148.9625,220.6,99.8,663.2
"n","n",132.7053571,214.8571429,99.35714286,581.5
"n","n",122.9113924,203,91,517
"n","n",118.4347826,213.3793103,99.27586207,641.7241379
"n","n",140.9044586,195.3,85.7,498
"n","n",130.9791667,220.9166667,99.08333333,649.25
"n","n",141.3803922,211.875,96.25,621.9375
"n","n",142.7083333,235.4814815,106.2592593,702.5555556
"n","n",132.0211268,221.4444444,103,764
"n","n",153.4921875,208.75,91,501.75
"n","n",139.8558559,217.8571429,90.85714286,569.8571429
"n","n",131.0538117,244.4285714,117.8571429,767.7857143
"n","n",127.5622172,229.0630631,101.1531532,764.1261261
"n","n",120.8015075,216.4,98.36,613.92
"n","n",126.9815838,201.6470588,89.38235294,487.2352941
"n","n",124.1023622,208.8125,92.0625,587.1875
"n","n",151.3828125,198.75,83,499.5
"n","n",117.4739583,247.8333333,117.3333333,844.8333333
"n","n",121.2552083,258.5,121.75,839.75
"n","n",94.5875,195.2,82.6,457.4
"n","n",145.7395833,215.3333333,98.66666667,559.3333333
"n","n",128.68125,258.8,118.2,838.6
"n","n",126.5185185,218.7692308,96.84615385,607.3589744
"n","n",120.0884774,246.6885246,113.8032787,788.7540984
"n","n",128.2536349,217.8205128,96.35897436,582.2820513
"n","n",119.20625,259.7,120.4,861.8
"n","n",137.1041667,249.1111111,110.4444444,788.1111111
"n","n",93.5,253.75,123.375,817.875
"n","n",110.4252874,231.8181818,107.6363636,694.9090909
"n","n",137.4375,223,94,583
"n","n",136.8790698,219.7777778,100.3703704,603.3703704
"n","n",122.1350806,237.1290323,110.8709677,683.483871
"n","n",114.5097087,241.2307692,130.3846154,517.9230769
"n","n",132.3579545,241.3939394,129.7575758,334.1212121
"n","n",139.2248428,195.125,86.725,395.7
"n","n",143.7932692,216.7692308,107.3846154,519.8461538
"n","n",137.3595506,218.2307692,96.66666667,309.6666667
"n","n",123.4018059,233.4285714,114.8571429,527.6071429
"n","n",122.1673004,237.2121212,129.8181818,410.5151515
"n","n",102.6135266,242.2307692,123,634.3076923
"n","n",124.7589286,211,99.28571429,592.8571429
"n","n",116.8576159,310.5263158,174.5263158,551.2105263
"n","n",135.6509009,356,233.2142857,435.9642857
"n","n",126.9288462,321.4848485,226.2424242,443.2121212
"n","n",120.625,438,268,461
"n","n",115.0062893,259,109,797.8
"n","n",136.1394799,287.509434,183.1698113,350.1132075
"n","n",133.8744186,244.962963,139.4814815,226.2962963
"n","n",123.5461957,314.826087,205.2608696,336.7391304
"n","n",111.6927083,372.4166667,264.75,397.0833333
"n","n",115.1458333,325.6666667,189.3333333,362.3333333
"n","n",120.3182482,246,134.2790698,467.1627907
"n","n",113.0745192,225,114.9615385,586.8461538
"n","n",132.9970238,211.047619,101.3333333,609.3333333
"n","n",131.8233083,173.8235294,76,208.1176471
"n","n",114.3514644,223.6,104.4666667,714
"n","n",125.1637931,266.0344828,159.8275862,266.8965517
"n","n",93.09375,396.6666667,234.8333333,518.6666667
"n","n",143.0776699,424.9230769,330.9230769,460.7692308
"n","n",124.3958333,893.3333333,746.3333333,932.3333333
"n","n",96.38888889,836.7777778,675.1111111,877.8888889
"n","n",71.71875,346,217,376
"n","n",121.140625,797,608,819
"n","n",154.1586826,291.8095238,178.1428571,374.4761905
"n","n",132.1870968,282.2564103,174.6923077,419.6666667
"n","n",142.8175439,213.8888889,116,203.0555556
"n","n",133.5911215,238.4814815,121.7407407,637.5185185
"n","n",148.6076389,293.4444444,204.1111111,347.5
"n","n",123.965035,278.2222222,186.5555556,300.5555556
"n","n",130.9561129,197.3,82.85,472.55
"n","n",133.6428571,214.3333333,95.42857143,355.9047619
"n","n",114.013089,239.5833333,114.25,748.9583333
"n","n",140.9592476,233.95,105.7,587.75
"n","n",114.8442623,232.3913043,114.9565217,509.1086957
"n","n",137.1660517,217.1176471,97.32352941,456.7058824
"n","n",132.8046875,245.25,115.125,690.125
"n","n",137.6881119,204.2222222,89.53333333,388.7777778
"n","n",138.7241379,215.7272727,99.72727273,473.2727273
"n","n",139.917847,191,82.26086957,395.4782609
"n","n",124.9371069,226.5,94.5,706.5
"n","n",132.8179612,236.7884615,139.8653846,302.2692308
"n","n",137.9537037,238.5,148.2857143,391.9285714
"n","n",118.3894472,255.88,144.52,536.8
"n","n",127.206278,260.1785714,161.8571429,415.4642857
"n","n",123.3658192,267.1333333,163.8,466.2
"n","n",115.9001536,248.5609756,131.2682927,519.195122
"n","n",110.6421053,209.3333333,96,571.7777778
"n","n",135.1260504,209.3333333,94.53333333,536.4666667
"n","n",112.700627,214.025,91.45,603.05
"n","n",135.4098361,194.5483871,87.61290323,332.5483871
"n","n",139.2185185,256.0588235,119.7058824,781
"n","n",96.11347518,233.4444444,103,684.5555556
"n","n",113.1388013,196.6,84.1,383.55
"n","n",183.28125,233,108,616
"n","n",130.004,186.2765957,84.14893617,293.3617021
"n","n",129.4791667,226.5555556,99.66666667,571.6666667
"n","n",110.171875,203,84,364
"n","n",139.8318966,207.6206897,94.24137931,465.9655172
"n","n",101.7291667,209.8333333,96.33333333,537.8333333
"n","n",126.3757669,264.0487805,124.0243902,714.2439024
"n","n",144.2102273,254.6363636,126.0909091,622.6363636
"n","n",120.6394231,206.1538462,93.23076923,510
"n","n",137.6017897,212.4642857,97.39285714,515.5
"n","n",116.6693227,265.4603175,122.8888889,773.8730159
"n","n",134.0555556,208.5555556,91.44444444,492.8888889
"n","n",118.9375,211.4,96,515.6
"n","n",142.2421875,222.75,99.125,609.875
"n","n",137.7169118,210.8235294,91.88235294,397.7647059
"n","n",113.8285714,269.4545455,123.0909091,782.4545455
"n","n",136.3206522,216.826087,102.8695652,474.2173913
"n","n",137.8674419,210.3333333,91.92592593,474.7037037
"n","n",165.6875,237,115,674
"n","n",105.7330317,234.1428571,102.7142857,659.1428571
"n","n",116.5125,212.8,99.6,413
"n","n",133.9360614,210.2244898,89.3877551,428.5918367
"n","n",137.7395833,228.6666667,101,706
"n","n",129.871345,219.1818182,97.09090909,594.8181818
"n","n",127.8754153,240.5263158,114.3421053,617.1578947
"n","n",108.5480769,211.1538462,96.38461538,659.4615385
"n","n",130.3715278,203,84.88888889,402.8333333
"n","n",134.8301527,205.2727273,94.06060606,563.0909091
"n","n",116.2220339,226,105.2567568,763.7972973
"n","n",120.5976563,205.4375,91.25,565.8125
"n","n",125.6102088,214.3333333,95.40740741,574.8888889
"n","n",129.1242515,193.3809524,83.04761905,486.6190476
"n","n",126.2252252,209.4285714,92.35714286,590.1428571
"n","n",93.5546875,207.25,90.75,670
"n","n",132.9669118,261.6470588,105.8235294,870.7058824
"n","n",117.839196,240.28,103.24,774.12
"n","n",110.0625,221.7142857,98,628
"n","n",140.4308176,195.85,86.65,524.4
"n","n",140.5817223,190.1388889,84.69444444,397.2777778
"n","n",135.0664063,233.25,101.4375,699.625
"n","n",150.2125,227.4,99,670
"n","n",143.176,208.625,92.5,609
"n","n",143.3509615,214.5,104.5769231,723.0384615
"n","n",117.1914063,224,107,687.75
"n","n",145.6546053,221.8947368,96.84210526,536.3157895
"n","n",114.5959596,246.44,115.72,791.08
"n","n",133.4795918,224.5405405,95.81081081,604.027027
"n","n",76.34782609,213.3333333,92.33333333,467.3333333
"n","n",107.9137931,224.4827586,102.9310345,724.6206897
"n","n",156.0892857,250,112.7142857,728.8571429
"n","n",109.286036,235.4285714,102.75,719.1071429
"n","n",110.15625,203,84,452
"n","n",155.1132813,199.875,87.75,479.9375
"n","n",114.195,217.76,93.8,604.56
"n","n",110.9453125,223.75,104.75,595.25
"n","n",123.5166113,219.3947368,100.8684211,457.5526316
"n","n",139.7707736,201.5454545,92.81818182,502.1818182
"n","n",136.0121457,212.8387097,90.80645161,584.4516129
"n","n",137.9267241,234.137931,113.5172414,778.9655172
"n","n",130.1939776,214.0222222,95.54444444,450.1
